[ AI-Rank-Log  4/ 7  9:30:48.458 ]sampleid: 000000017627.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:48.545 ]sampleid: 000000017714.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:48.641 ]sampleid: 000000017899.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:48.734 ]sampleid: 000000017905.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:48.821 ]sampleid: 000000017959.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:48.914 ]sampleid: 000000018150.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:49.  0 ]sampleid: 000000018193.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:49. 88 ]sampleid: 000000018380.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:49.163 ]sampleid: 000000018491.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:49.263 ]sampleid: 000000018519.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:49.355 ]sampleid: 000000018575.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:49.450 ]sampleid: 000000018737.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:49.536 ]sampleid: 000000018770.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:49.607 ]sampleid: 000000018833.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:49.689 ]sampleid: 000000018837.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:49.774 ]sampleid: 000000019042.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:49.867 ]sampleid: 000000019109.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:49.951 ]sampleid: 000000019221.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:50. 42 ]sampleid: 000000019402.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:50.137 ]sampleid: 000000019432.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:50.223 ]sampleid: 000000019742.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:50.310 ]sampleid: 000000019786.jpg, result=true
