[ AI-Rank-Log  4/ 8 12:54: 7.334 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 8 12:54:11.721 ]GPU delegate is created.
ERROR: Following operations are not supported by GPU delegate:
CUSTOM TFLite_Detection_PostProcess: TFLite_Detection_PostProcess
181 operations will run on the GPU, and the remaining 1 operations will run on the CPU.
INFO: Initialized OpenCL-based API.
[ AI-Rank-Log  4/ 8 12:54:24.634 ]sampleid: 000000013597.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:24.725 ]sampleid: 000000013659.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:24.820 ]sampleid: 000000013729.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:24.904 ]sampleid: 000000013774.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:25.  3 ]sampleid: 000000013923.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:25. 89 ]sampleid: 000000014007.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:25.189 ]sampleid: 000000014038.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:25.280 ]sampleid: 000000014226.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:25.386 ]sampleid: 000000014380.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:25.468 ]sampleid: 000000014439.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:25.559 ]sampleid: 000000014473.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:25.668 ]sampleid: 000000014831.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:25.785 ]sampleid: 000000014888.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:25.866 ]sampleid: 000000015079.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:25.959 ]sampleid: 000000015254.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:26. 67 ]sampleid: 000000015272.jpg, result=true
