[ AI-Rank-Log  4/ 7 16: 4:15.847 ]sampleid: 000000018737.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:15.913 ]sampleid: 000000018770.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:15.978 ]sampleid: 000000018833.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:16. 49 ]sampleid: 000000018837.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:16.118 ]sampleid: 000000019042.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:16.187 ]sampleid: 000000019109.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:16.253 ]sampleid: 000000019221.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:16.325 ]sampleid: 000000019402.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:16.393 ]sampleid: 000000019432.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:16.458 ]sampleid: 000000019742.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:16.523 ]sampleid: 000000019786.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:16.589 ]sampleid: 000000019924.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:16.661 ]sampleid: 000000020059.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:16.727 ]sampleid: 000000020107.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:16.796 ]sampleid: 000000020247.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:16.866 ]sampleid: 000000020333.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:16.933 ]sampleid: 000000020553.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:17.  7 ]sampleid: 000000020571.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:17. 73 ]sampleid: 000000020992.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:17.139 ]sampleid: 000000021167.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:17.205 ]sampleid: 000000021465.jpg, result=true
