Namespace(amp=False, batch_size=8, data_shape=416, dataset='coco', epochs=1, gpus='0', horovod=False, label_smooth=True, log_interval=10, lr=0.001, lr_decay=0.1, lr_decay_epoch='220,250', lr_decay_period=0, lr_mode='step', mixup=True, momentum=0.9, network='darknet53', no_mixup_epochs=20, no_random_shape=False, no_wd=True, num_samples=117266, num_workers=8, resume='', save_interval=10, save_prefix='log/yolo3_darknet53_coco', seed=233, start_epoch=0, syncbn=False, val_interval=1, warmup_epochs=2, warmup_lr=0.0, wd=0.0005)
Start training from [Epoch 0]
AI-Rank-log [Epoch 0][Batch 839], LR: 2.87E-05, Speed: 21.444 samples/sec, ObjLoss=267.240, BoxCenterLoss=16.909, BoxScaleLoss=12.416, ClassLoss=177.807
AI-Rank-log [Epoch 0][Batch 849], LR: 2.90E-05, Speed: 34.238 samples/sec, ObjLoss=264.511, BoxCenterLoss=16.893, BoxScaleLoss=12.365, ClassLoss=176.394
AI-Rank-log [Epoch 0][Batch 859], LR: 2.93E-05, Speed: 41.348 samples/sec, ObjLoss=261.829, BoxCenterLoss=16.879, BoxScaleLoss=12.319, ClassLoss=175.008
AI-Rank-log [Epoch 0][Batch 869], LR: 2.97E-05, Speed: 23.599 samples/sec, ObjLoss=259.260, BoxCenterLoss=16.875, BoxScaleLoss=12.277, ClassLoss=173.652
AI-Rank-log [Epoch 0][Batch 879], LR: 3.00E-05, Speed: 23.420 samples/sec, ObjLoss=256.775, BoxCenterLoss=16.889, BoxScaleLoss=12.251, ClassLoss=172.387
AI-Rank-log [Epoch 0][Batch 889], LR: 3.04E-05, Speed: 30.671 samples/sec, ObjLoss=254.276, BoxCenterLoss=16.874, BoxScaleLoss=12.207, ClassLoss=171.071
AI-Rank-log [Epoch 0][Batch 899], LR: 3.07E-05, Speed: 23.348 samples/sec, ObjLoss=251.901, BoxCenterLoss=16.882, BoxScaleLoss=12.172, ClassLoss=169.864
AI-Rank-log [Epoch 0][Batch 909], LR: 3.10E-05, Speed: 23.371 samples/sec, ObjLoss=249.493, BoxCenterLoss=16.851, BoxScaleLoss=12.121, ClassLoss=168.583
AI-Rank-log [Epoch 0][Batch 919], LR: 3.14E-05, Speed: 25.351 samples/sec, ObjLoss=247.136, BoxCenterLoss=16.831, BoxScaleLoss=12.063, ClassLoss=167.314
AI-Rank-log [Epoch 0][Batch 929], LR: 3.17E-05, Speed: 46.694 samples/sec, ObjLoss=244.839, BoxCenterLoss=16.819, BoxScaleLoss=12.018, ClassLoss=166.146
AI-Rank-log [Epoch 0][Batch 939], LR: 3.21E-05, Speed: 41.805 samples/sec, ObjLoss=242.574, BoxCenterLoss=16.806, BoxScaleLoss=11.979, ClassLoss=164.945
AI-Rank-log [Epoch 0][Batch 949], LR: 3.24E-05, Speed: 31.436 samples/sec, ObjLoss=240.408, BoxCenterLoss=16.812, BoxScaleLoss=11.950, ClassLoss=163.826
AI-Rank-log [Epoch 0][Batch 959], LR: 3.27E-05, Speed: 35.076 samples/sec, ObjLoss=238.307, BoxCenterLoss=16.823, BoxScaleLoss=11.919, ClassLoss=162.792
AI-Rank-log [Epoch 0][Batch 969], LR: 3.31E-05, Speed: 25.870 samples/sec, ObjLoss=236.237, BoxCenterLoss=16.815, BoxScaleLoss=11.883, ClassLoss=161.744
AI-Rank-log [Epoch 0][Batch 979], LR: 3.34E-05, Speed: 37.503 samples/sec, ObjLoss=234.167, BoxCenterLoss=16.804, BoxScaleLoss=11.848, ClassLoss=160.658
AI-Rank-log [Epoch 0][Batch 989], LR: 3.38E-05, Speed: 49.371 samples/sec, ObjLoss=232.167, BoxCenterLoss=16.819, BoxScaleLoss=11.833, ClassLoss=159.676
AI-Rank-log [Epoch 0][Batch 999], LR: 3.41E-05, Speed: 49.445 samples/sec, ObjLoss=230.172, BoxCenterLoss=16.815, BoxScaleLoss=11.806, ClassLoss=158.637
AI-Rank-log [Epoch 0][Batch 1009], LR: 3.45E-05, Speed: 37.335 samples/sec, ObjLoss=228.217, BoxCenterLoss=16.803, BoxScaleLoss=11.773, ClassLoss=157.606
AI-Rank-log [Epoch 0][Batch 1019], LR: 3.48E-05, Speed: 47.075 samples/sec, ObjLoss=226.354, BoxCenterLoss=16.830, BoxScaleLoss=11.765, ClassLoss=156.750
AI-Rank-log [Epoch 0][Batch 1029], LR: 3.51E-05, Speed: 34.598 samples/sec, ObjLoss=224.553, BoxCenterLoss=16.855, BoxScaleLoss=11.745, ClassLoss=155.923
AI-Rank-log [Epoch 0][Batch 1039], LR: 3.55E-05, Speed: 23.335 samples/sec, ObjLoss=222.786, BoxCenterLoss=16.870, BoxScaleLoss=11.726, ClassLoss=155.042
AI-Rank-log [Epoch 0][Batch 1049], LR: 3.58E-05, Speed: 26.390 samples/sec, ObjLoss=220.994, BoxCenterLoss=16.857, BoxScaleLoss=11.686, ClassLoss=154.082
AI-Rank-log [Epoch 0][Batch 1059], LR: 3.62E-05, Speed: 20.901 samples/sec, ObjLoss=219.294, BoxCenterLoss=16.871, BoxScaleLoss=11.671, ClassLoss=153.242
AI-Rank-log [Epoch 0][Batch 1069], LR: 3.65E-05, Speed: 34.266 samples/sec, ObjLoss=217.556, BoxCenterLoss=16.865, BoxScaleLoss=11.643, ClassLoss=152.330
AI-Rank-log [Epoch 0][Batch 1079], LR: 3.68E-05, Speed: 20.778 samples/sec, ObjLoss=215.906, BoxCenterLoss=16.874, BoxScaleLoss=11.619, ClassLoss=151.476
AI-Rank-log [Epoch 0][Batch 1089], LR: 3.72E-05, Speed: 30.815 samples/sec, ObjLoss=214.344, BoxCenterLoss=16.915, BoxScaleLoss=11.607, ClassLoss=150.774
AI-Rank-log [Epoch 0][Batch 1099], LR: 3.75E-05, Speed: 22.669 samples/sec, ObjLoss=212.752, BoxCenterLoss=16.922, BoxScaleLoss=11.582, ClassLoss=149.944
AI-Rank-log [Epoch 0][Batch 1109], LR: 3.79E-05, Speed: 22.838 samples/sec, ObjLoss=211.154, BoxCenterLoss=16.920, BoxScaleLoss=11.558, ClassLoss=149.094
AI-Rank-log [Epoch 0][Batch 1119], LR: 3.82E-05, Speed: 20.134 samples/sec, ObjLoss=209.558, BoxCenterLoss=16.893, BoxScaleLoss=11.513, ClassLoss=148.195
AI-Rank-log [Epoch 0][Batch 1129], LR: 3.85E-05, Speed: 38.282 samples/sec, ObjLoss=207.908, BoxCenterLoss=16.840, BoxScaleLoss=11.462, ClassLoss=147.214
AI-Rank-log [Epoch 0][Batch 1139], LR: 3.89E-05, Speed: 40.760 samples/sec, ObjLoss=206.367, BoxCenterLoss=16.828, BoxScaleLoss=11.427, ClassLoss=146.390
AI-Rank-log [Epoch 0][Batch 1149], LR: 3.92E-05, Speed: 49.064 samples/sec, ObjLoss=204.906, BoxCenterLoss=16.847, BoxScaleLoss=11.415, ClassLoss=145.725
AI-Rank-log [Epoch 0][Batch 1159], LR: 3.96E-05, Speed: 23.601 samples/sec, ObjLoss=203.497, BoxCenterLoss=16.871, BoxScaleLoss=11.398, ClassLoss=145.041
AI-Rank-log [Epoch 0][Batch 1169], LR: 3.99E-05, Speed: 25.043 samples/sec, ObjLoss=202.115, BoxCenterLoss=16.888, BoxScaleLoss=11.376, ClassLoss=144.380
AI-Rank-log [Epoch 0][Batch 1179], LR: 4.03E-05, Speed: 53.936 samples/sec, ObjLoss=200.719, BoxCenterLoss=16.908, BoxScaleLoss=11.369, ClassLoss=143.743
AI-Rank-log [Epoch 0][Batch 1189], LR: 4.06E-05, Speed: 52.168 samples/sec, ObjLoss=199.325, BoxCenterLoss=16.914, BoxScaleLoss=11.359, ClassLoss=143.036
AI-Rank-log [Epoch 0][Batch 1199], LR: 4.09E-05, Speed: 32.391 samples/sec, ObjLoss=197.986, BoxCenterLoss=16.928, BoxScaleLoss=11.338, ClassLoss=142.357
AI-Rank-log [Epoch 0][Batch 1209], LR: 4.13E-05, Speed: 41.279 samples/sec, ObjLoss=196.633, BoxCenterLoss=16.929, BoxScaleLoss=11.316, ClassLoss=141.716
AI-Rank-log [Epoch 0][Batch 1219], LR: 4.16E-05, Speed: 48.090 samples/sec, ObjLoss=195.323, BoxCenterLoss=16.938, BoxScaleLoss=11.302, ClassLoss=141.087
AI-Rank-log [Epoch 0][Batch 1229], LR: 4.20E-05, Speed: 52.689 samples/sec, ObjLoss=193.978, BoxCenterLoss=16.927, BoxScaleLoss=11.278, ClassLoss=140.385
AI-Rank-log [Epoch 0][Batch 1239], LR: 4.23E-05, Speed: 22.641 samples/sec, ObjLoss=192.740, BoxCenterLoss=16.938, BoxScaleLoss=11.260, ClassLoss=139.758
AI-Rank-log [Epoch 0][Batch 1249], LR: 4.26E-05, Speed: 41.855 samples/sec, ObjLoss=191.517, BoxCenterLoss=16.963, BoxScaleLoss=11.255, ClassLoss=139.166
