AI-Rank-log 1617949766.1663604 sampleid:56beb0f43aeaaa14008c921d, same num=2
AI-Rank-log 1617949766.1664417 sampleid:56beb0f43aeaaa14008c921e, same num=3
AI-Rank-log 1617949766.166514 sampleid:56beb0f43aeaaa14008c921f, same num=1
AI-Rank-log 1617949766.1665869 sampleid:56bf21b43aeaaa14008c9525, same num=1
AI-Rank-log 1617949766.166669 sampleid:56bf21b43aeaaa14008c9526, same num=3
AI-Rank-log 1617949766.1667411 sampleid:56bf21b43aeaaa14008c9528, same num=1
AI-Rank-log 1617949766.1668968 sampleid:56bf21b43aeaaa14008c9529, same num=2
AI-Rank-log 1617949766.1669796 sampleid:56d6ef6a0d65d21400198260, same num=1
AI-Rank-log 1617949766.1670702 sampleid:56d6ef6a0d65d21400198262, same num=2
AI-Rank-log 1617949766.1671581 sampleid:56d98f0ddc89441400fdb558, same num=3
AI-Rank-log 1617949766.1672325 sampleid:56d98f0ddc89441400fdb559, same num=1
AI-Rank-log 1617949766.1673183 sampleid:56d98f0ddc89441400fdb55a, same num=2
AI-Rank-log 1617949766.167392 sampleid:56d98f0ddc89441400fdb55b, same num=1
AI-Rank-log 1617949766.1674767 sampleid:56d98f0ddc89441400fdb55c, same num=2
AI-Rank-log 1617949766.1675591 sampleid:56be5523acb8001400a5032c, same num=3
AI-Rank-log 1617949766.167638 sampleid:56be5523acb8001400a5032d, same num=2
AI-Rank-log 1617949766.167717 sampleid:56be5523acb8001400a5032e, same num=1
AI-Rank-log 1617949766.167809 sampleid:56be5523acb8001400a5032f, same num=2
AI-Rank-log 1617949766.1678894 sampleid:56be5523acb8001400a50330, same num=2
AI-Rank-log 1617949766.1679661 sampleid:56beb2153aeaaa14008c9225, same num=1
AI-Rank-log 1617949766.168048 sampleid:56beb2153aeaaa14008c9226, same num=3
AI-Rank-log 1617949766.1681273 sampleid:56beb2153aeaaa14008c9227, same num=2
AI-Rank-log 1617949766.1682184 sampleid:56beb2153aeaaa14008c9228, same num=3
AI-Rank-log 1617949766.168296 sampleid:56beb2153aeaaa14008c9229, same num=2
AI-Rank-log 1617949766.168371 sampleid:56bf23363aeaaa14008c952f, same num=1
AI-Rank-log 1617949766.1684437 sampleid:56bf23363aeaaa14008c9530, same num=1
AI-Rank-log 1617949766.1685243 sampleid:56bf23363aeaaa14008c9531, same num=2
AI-Rank-log 1617949766.168603 sampleid:56bf23363aeaaa14008c9532, same num=1
AI-Rank-log 1617949766.1686876 sampleid:56bf23363aeaaa14008c9533, same num=3
AI-Rank-log 1617949766.168771 sampleid:56d6f0770d65d21400198268, same num=3
AI-Rank-log 1617949766.1688511 sampleid:56d6f0770d65d21400198269, same num=1
AI-Rank-log 1617949766.1689243 sampleid:56d6f0770d65d2140019826a, same num=1
AI-Rank-log 1617949766.1689992 sampleid:56d6f0770d65d2140019826c, same num=1
AI-Rank-log 1617949766.1690807 sampleid:56d98fbfdc89441400fdb562, same num=3
AI-Rank-log 1617949766.1691556 sampleid:56d98fbfdc89441400fdb563, same num=1
AI-Rank-log 1617949766.169235 sampleid:56d98fbfdc89441400fdb564, same num=2
AI-Rank-log 1617949766.1693149 sampleid:56d98fbfdc89441400fdb565, same num=1
AI-Rank-log 1617949766.169409 sampleid:56be572b3aeaaa14008c9052, same num=2
AI-Rank-log 1617949766.1694832 sampleid:56beb2a03aeaaa14008c922f, same num=1
AI-Rank-log 1617949766.1695554 sampleid:56beb2a03aeaaa14008c9230, same num=1
AI-Rank-log 1617949766.169639 sampleid:56beb2a03aeaaa14008c9231, same num=2
AI-Rank-log 1617949766.169724 sampleid:56beb2a03aeaaa14008c9232, same num=2
AI-Rank-log 1617949766.1698058 sampleid:56beb2a03aeaaa14008c9233, same num=2
AI-Rank-log 1617949766.169886 sampleid:56bf28c73aeaaa14008c9539, same num=1
AI-Rank-log 1617949766.1699603 sampleid:56bf28c73aeaaa14008c953a, same num=1
AI-Rank-log 1617949766.1700444 sampleid:56bf28c73aeaaa14008c953c, same num=3
AI-Rank-log 1617949766.1701164 sampleid:56bf28c73aeaaa14008c953d, same num=1
AI-Rank-log 1617949766.1701949 sampleid:56d6f1190d65d21400198272, same num=2
