Epoch: [0][1180/1832], lr: 0.02000	Time 0.327 (0.333)	Data 0.000 (0.001)	Loss 3.3814 (3.4791)	Prec@1 29.688 (26.490)	Prec@5 57.031 (51.011)	2021-05-15 21:23:16.509896
Epoch: [0][1200/1832], lr: 0.02000	Time 0.331 (0.333)	Data 0.000 (0.001)	Loss 3.3397 (3.4695)	Prec@1 34.375 (26.607)	Prec@5 60.938 (51.160)	2021-05-15 21:23:23.084879
Epoch: [0][1220/1832], lr: 0.02000	Time 0.328 (0.333)	Data 0.000 (0.001)	Loss 3.0533 (3.4607)	Prec@1 32.031 (26.715)	Prec@5 60.156 (51.310)	2021-05-15 21:23:29.655773
Epoch: [0][1240/1832], lr: 0.02000	Time 0.328 (0.333)	Data 0.000 (0.001)	Loss 2.3564 (3.4541)	Prec@1 37.500 (26.869)	Prec@5 63.281 (51.485)	2021-05-15 21:23:36.203013
Epoch: [0][1260/1832], lr: 0.02000	Time 0.330 (0.333)	Data 0.000 (0.001)	Loss 2.3798 (3.4444)	Prec@1 35.156 (26.992)	Prec@5 63.281 (51.639)	2021-05-15 21:23:42.749412
Epoch: [0][1280/1832], lr: 0.02000	Time 0.325 (0.333)	Data 0.000 (0.001)	Loss 2.8503 (3.4377)	Prec@1 34.375 (27.129)	Prec@5 62.500 (51.788)	2021-05-15 21:23:49.296556
Epoch: [0][1300/1832], lr: 0.02000	Time 0.315 (0.333)	Data 0.000 (0.001)	Loss 3.2888 (3.4291)	Prec@1 29.688 (27.260)	Prec@5 53.125 (51.914)	2021-05-15 21:23:55.833024
Epoch: [0][1320/1832], lr: 0.02000	Time 0.328 (0.332)	Data 0.000 (0.001)	Loss 1.5496 (3.4180)	Prec@1 34.375 (27.385)	Prec@5 64.062 (52.075)	2021-05-15 21:24:02.380462
Epoch: [0][1340/1832], lr: 0.02000	Time 0.336 (0.332)	Data 0.000 (0.001)	Loss 3.6910 (3.4120)	Prec@1 33.594 (27.472)	Prec@5 59.375 (52.220)	2021-05-15 21:24:08.938788
Epoch: [0][1360/1832], lr: 0.02000	Time 0.325 (0.332)	Data 0.000 (0.001)	Loss 2.3675 (3.4021)	Prec@1 37.500 (27.606)	Prec@5 67.969 (52.364)	2021-05-15 21:24:15.469202
Epoch: [0][1380/1832], lr: 0.02000	Time 0.331 (0.332)	Data 0.000 (0.001)	Loss 2.9747 (3.3907)	Prec@1 37.500 (27.744)	Prec@5 64.844 (52.510)	2021-05-15 21:24:22.031339
Epoch: [0][1400/1832], lr: 0.02000	Time 0.324 (0.332)	Data 0.000 (0.001)	Loss 2.7504 (3.3826)	Prec@1 35.938 (27.860)	Prec@5 70.312 (52.655)	2021-05-15 21:24:28.576357
Epoch: [0][1420/1832], lr: 0.02000	Time 0.315 (0.332)	Data 0.000 (0.001)	Loss 3.8612 (3.3753)	Prec@1 38.281 (28.000)	Prec@5 58.594 (52.795)	2021-05-15 21:24:35.121332
Epoch: [0][1440/1832], lr: 0.02000	Time 0.331 (0.332)	Data 0.000 (0.001)	Loss 3.7031 (3.3674)	Prec@1 34.375 (28.128)	Prec@5 59.375 (52.938)	2021-05-15 21:24:41.668319
Epoch: [0][1460/1832], lr: 0.02000	Time 0.330 (0.332)	Data 0.000 (0.001)	Loss 2.7452 (3.3609)	Prec@1 34.375 (28.224)	Prec@5 60.156 (53.085)	2021-05-15 21:24:48.245574
Epoch: [0][1480/1832], lr: 0.02000	Time 0.334 (0.332)	Data 0.000 (0.001)	Loss 2.0750 (3.3549)	Prec@1 48.438 (28.353)	Prec@5 71.094 (53.232)	2021-05-15 21:24:54.821397
Epoch: [0][1500/1832], lr: 0.02000	Time 0.328 (0.332)	Data 0.000 (0.001)	Loss 2.8205 (3.3467)	Prec@1 40.625 (28.480)	Prec@5 67.969 (53.380)	2021-05-15 21:25:01.384081
Epoch: [0][1520/1832], lr: 0.02000	Time 0.334 (0.332)	Data 0.000 (0.001)	Loss 2.1553 (3.3396)	Prec@1 33.594 (28.597)	Prec@5 65.625 (53.516)	2021-05-15 21:25:07.969171
Epoch: [0][1540/1832], lr: 0.02000	Time 0.325 (0.332)	Data 0.000 (0.001)	Loss 2.0343 (3.3332)	Prec@1 38.281 (28.712)	Prec@5 63.281 (53.647)	2021-05-15 21:25:14.528535
Epoch: [0][1560/1832], lr: 0.02000	Time 0.332 (0.332)	Data 0.000 (0.001)	Loss 2.3513 (3.3255)	Prec@1 31.250 (28.812)	Prec@5 60.938 (53.770)	2021-05-15 21:25:21.079481
Epoch: [0][1580/1832], lr: 0.02000	Time 0.315 (0.332)	Data 0.000 (0.001)	Loss 3.4004 (3.3187)	Prec@1 29.688 (28.890)	Prec@5 57.812 (53.871)	2021-05-15 21:25:27.596434
Epoch: [0][1600/1832], lr: 0.02000	Time 0.342 (0.332)	Data 0.000 (0.001)	Loss 2.1168 (3.3128)	Prec@1 41.406 (29.016)	Prec@5 67.188 (54.010)	2021-05-15 21:25:34.166860
Epoch: [0][1620/1832], lr: 0.02000	Time 0.330 (0.332)	Data 0.000 (0.001)	Loss 2.5347 (3.3055)	Prec@1 40.625 (29.109)	Prec@5 66.406 (54.138)	2021-05-15 21:25:40.720035
Epoch: [0][1640/1832], lr: 0.02000	Time 0.331 (0.332)	Data 0.000 (0.001)	Loss 2.9697 (3.2982)	Prec@1 33.594 (29.205)	Prec@5 62.500 (54.253)	2021-05-15 21:25:47.287287
Epoch: [0][1660/1832], lr: 0.02000	Time 0.333 (0.332)	Data 0.000 (0.001)	Loss 2.1552 (3.2922)	Prec@1 38.281 (29.320)	Prec@5 67.188 (54.386)	2021-05-15 21:25:53.853244
Epoch: [0][1680/1832], lr: 0.02000	Time 0.327 (0.331)	Data 0.000 (0.001)	Loss 2.4626 (3.2858)	Prec@1 38.281 (29.410)	Prec@5 68.750 (54.503)	2021-05-15 21:26:00.415501
Epoch: [0][1700/1832], lr: 0.02000	Time 0.341 (0.331)	Data 0.000 (0.001)	Loss 3.5838 (3.2809)	Prec@1 34.375 (29.502)	Prec@5 60.156 (54.610)	2021-05-15 21:26:06.975483
Epoch: [0][1720/1832], lr: 0.02000	Time 0.336 (0.331)	Data 0.000 (0.001)	Loss 3.2276 (3.2729)	Prec@1 36.719 (29.599)	Prec@5 69.531 (54.724)	2021-05-15 21:26:13.516572
Epoch: [0][1740/1832], lr: 0.02000	Time 0.327 (0.331)	Data 0.000 (0.001)	Loss 2.4694 (3.2633)	Prec@1 37.500 (29.701)	Prec@5 64.062 (54.845)	2021-05-15 21:26:20.041450
Epoch: [0][1760/1832], lr: 0.02000	Time 0.331 (0.331)	Data 0.000 (0.001)	Loss 2.3902 (3.2586)	Prec@1 41.406 (29.804)	Prec@5 65.625 (54.953)	2021-05-15 21:26:26.598189
Epoch: [0][1780/1832], lr: 0.02000	Time 0.328 (0.331)	Data 0.000 (0.001)	Loss 2.8073 (3.2525)	Prec@1 35.938 (29.896)	Prec@5 60.156 (55.065)	2021-05-15 21:26:33.176712
Epoch: [0][1800/1832], lr: 0.02000	Time 0.327 (0.331)	Data 0.000 (0.001)	Loss 2.9242 (3.2479)	Prec@1 42.188 (29.986)	Prec@5 64.844 (55.169)	2021-05-15 21:26:39.744203
Epoch: [0][1820/1832], lr: 0.02000	Time 0.331 (0.331)	Data 0.000 (0.001)	Loss 3.3799 (3.2415)	Prec@1 37.500 (30.073)	Prec@5 60.156 (55.277)	2021-05-15 21:26:46.312976
error loading image: /val/ssd4/chaj/k400_rawframes/val_256/drinking_shots/r_ch8S1Ckuw.mkv/img_00054.jpg
Test: [0/155]	Time 1.947 (1.947)	Loss 3.0175 (3.0175)	Prec@1 35.156 (35.156)	Prec@5 57.812 (57.812)
error loading image: /val/ssd4/chaj/k400_rawframes/val_256/biking_through_snow/vOvo81B-zK8.mkv/img_00045.jpg
error loading image: /val/ssd4/chaj/k400_rawframes/val_256/somersaulting/qi5Jtwx066I.mkv/img_00070.jpg
error loading image: /val/ssd4/chaj/k400_rawframes/val_256/faceplanting/VN3-h6-aAls.mkv/img_00262.jpg
Test: [20/155]	Time 0.152 (0.240)	Loss 1.6947 (2.8919)	Prec@1 46.094 (39.918)	Prec@5 74.219 (66.741)
error loading image: /val/ssd4/chaj/k400_rawframes/val_256/crossing_river/5mBqtX4KrGk.mkv/img_00046.jpg
error loading image: /val/ssd4/chaj/k400_rawframes/val_256/ripping_paper/aW9nPGAdLkM.mkv/img_00225.jpg
Test: [40/155]	Time 0.155 (0.199)	Loss 2.8176 (2.8755)	Prec@1 34.375 (37.348)	Prec@5 63.281 (64.920)
error loading image: /val/ssd4/chaj/k400_rawframes/val_256/cleaning_shoes/TgexohLykUg.mkv/img_00259.jpg
error loading image: /val/ssd4/chaj/k400_rawframes/val_256/blowing_leaves/ll91M5topgU.mkv/img_00193.jpg
error loading image: /val/ssd4/chaj/k400_rawframes/val_256/blowing_leaves/ll91M5topgU.mkv/img_00228.jpg
error loading image: /val/ssd4/chaj/k400_rawframes/val_256/blowing_leaves/ll91M5topgU.mkv/img_00263.jpg
Test: [60/155]	Time 0.173 (0.185)	Loss 2.9095 (2.7826)	Prec@1 36.719 (39.331)	Prec@5 71.094 (65.561)
error loading image: /val/ssd4/chaj/k400_rawframes/val_256/peeling_potatoes/jwO2HAMrCt4.mkv/img_00249.jpg
error loading image: /val/ssd4/chaj/k400_rawframes/val_256/peeling_potatoes/jwO2HAMrCt4.mkv/img_00295.jpg
error loading image: /val/ssd4/chaj/k400_rawframes/val_256/peeling_potatoes/jwO2HAMrCt4.mkv/img_00340.jpg
